Player Name,Team,Position,Age,Games Played,Games Started,MPG,FGM per game,FGA per game,FG%,3PM per game,3PA  per game,3P%,2PM per game,2PA per game,2P%,eFG%,FTM per game,FTA per game,FT%,ORB per game,DRB per game,TRB per game,AST per game,STL per game,BLK per game,TOV per game,Fouls per game,PPG
Isaac Okoro,CLE,SF,23,12,7,21.9,2.1,5.8,0.357,0.8,2.9,0.257,1.3,2.9,0.457,0.421,0.6,0.8,0.778,0.4,1.3,1.8,1.1,0.9,0.3,0.9,2.5,5.5
Kelly Oubre Jr.,PHI,SF,28,6,6,37.3,5.2,10.7,0.484,1.5,3.8,0.391,3.7,6.8,0.537,0.555,1.3,1.8,0.727,1.5,2.5,4,1.7,1.8,1.2,1.3,4,13.2
Cameron Payne,PHI,PG,29,5,0,12.2,2,5,0.4,1.6,3.6,0.444,0.4,1.4,0.286,0.56,0,0,0,0,1.2,1.2,1.4,0.2,0.8,0.6,2,5.6
Jalen Pickett,DEN,SG,24,3,0,3.7,0.7,1,0.667,0,0.3,0,0.7,0.7,1,0.667,0,0,0,0,0.3,0.3,0.3,0,0.3,0,0.3,1.3
Mason Plumlee,LAC,C,33,6,0,11,1.2,3,0.389,0,0,0,1.2,3,0.389,0.389,0.8,1.3,0.625,1.2,2.2,3.3,0.7,0.5,0.3,0.3,2.2,3.2
Michael Porter Jr.,DEN,SF,25,12,12,36.9,5.7,12.2,0.466,2.8,6.8,0.407,2.9,5.4,0.538,0.579,1.7,2.2,0.769,0.7,6.2,6.8,1.1,0.9,0.8,1.5,2.3,15.8
Bobby Portis,MIL,PF,28,6,6,31.2,7.3,15.2,0.484,0.5,2,0.25,6.8,13.2,0.519,0.5,1.3,2.2,0.615,2.7,8.7,11.3,1,0.5,0.2,1.5,2.2,16.5
Kristaps Porzi??is,BOS,C,28,4,4,26.3,3.5,9,0.389,2,5,0.4,1.5,4,0.375,0.5,3.3,3.5,0.929,1,4,5,1.8,1.3,1.5,1,2.5,12.3
Dwight Powell,DAL,C,32,7,0,2.1,0,0,0,0,0,0,0,0,0,0,0.3,0.6,0.5,0.3,0.4,0.7,0.1,0,0,0,0.4,0.3
Norman Powell,LAC,SG,30,6,0,29.8,4.3,10.2,0.426,2.2,4.8,0.448,2.2,5.3,0.406,0.533,2,2.5,0.8,0.5,2.3,2.8,0.3,0.5,0,1.2,3.3,12.8
Taurean Prince,LAL,PF,29,5,0,22.2,2.4,5.8,0.414,1,3.4,0.294,1.4,2.4,0.583,0.5,1.6,1.6,1,0.2,2.2,2.4,0.6,0.2,0.4,0.2,1.8,7.4
Payton Pritchard,BOS,PG,26,11,0,22.8,2.8,6,0.47,1.5,3.5,0.447,1.3,2.5,0.5,0.598,0.6,0.7,0.875,0.9,1.4,2.3,2.5,0.3,0,0.8,1.2,7.8
Olivier-Maxence Prosper,DAL,PF,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neemias Queta,BOS,C,24,2,0,4,0.5,1,0.5,0,0,0,0.5,1,0.5,0.5,0,0,0,0.5,1,1.5,0,0,0,0,0,1
Austin Reaves,LAL,SG,25,5,5,34.8,6,12.6,0.476,1.4,5.2,0.269,4.6,7.4,0.622,0.532,3.4,3.8,0.895,1,2.8,3.8,3.6,1.4,0.6,0.8,1.6,16.8
